year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,173,894,83.79
2003,1142,194,948,83.01
2004,1135,198,937,82.56
2005,1097,175,922,84.05
2006,1118,180,938,83.90
2007,1090,146,944,86.61
2008,1108,142,966,87.18
2009,1140,149,991,86.93
2010,1099,125,974,88.63
2011,1101,112,989,89.83
2012,1103,106,997,90.39
2013,1105,95,1010,91.40
2014,1053,87,966,91.74
2015,1059,73,986,93.11
2016,1122,63,1059,94.39
2017,1091,56,1035,94.87
2018,1147,44,1103,96.16
2019,1083,47,1036,95.66
2020,1012,25,987,97.53
